Tahun,Negara,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,India ,"24 544,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Jepang,"3 240,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Hongkong,"7 251,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Uni Emirat arab,"5 514,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Singapura,"6 004,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Nigeria," 2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Lainnya,"11 503,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Malaysia,"352 106,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Vietnam,"58 223,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Tiongkok,"204 561,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Thailand,"112 885,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,India ,"10 130,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Jepang,"7 377,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Hongkong,"5 926,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Uni Emirat arab,"4 133,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Singapura,"4 481,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Nigeria," 8,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Lainnya,"6 285,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Malaysia,"283 836,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Vietnam,"52 210,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Tiongkok,"268 223,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Thailand,"384 566,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,India ,"13 123,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Jepang,"4 919,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Hongkong,"1 596,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Uni Emirat arab,"4 044,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Singapura,"5 449,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Nigeria," 1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Lainnya,"16 148,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Malaysia,"320 337,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Vietnam,"47 619,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Tiongkok,"188 629,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Thailand,"165 429,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,India ,"8 822,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Jepang,"4 675,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Hongkong,"3 620,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Uni Emirat arab,"10 377,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Singapura,"6 193,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
